Front,Back,Tags,Mnemonic
"What are the three attack surfaces that make AI systems fundamentally different from traditional software?","1. Training data (corrupt data → corrupt behavior permanently) 2. Prompt as code (no separation between instructions and user input) 3. Non-determinism (same input → different output; fuzzing breaks down)","L1,foundations,attack-surface","Remember: TPN — Training, Prompt, Non-determinism"
"What is the key reason LLM auditing is a black-box exercise?","The model's logic is locked inside billions of weights (floating-point numbers). There is no source code to read. You can only inspect the system prompt and probe behavior through adversarial inputs.","L1,foundations,auditing","Think: the weights are the locked vault. The system prompt is the only door you can see."
"What is the difference between direct and indirect prompt injection?","Direct: attacker sends malicious instructions through the user input channel — defender can filter this chokepoint. Indirect: attacker hides instructions inside external data the LLM processes (emails, documents, web pages) — no single chokepoint to filter.","L1,LLM01,prompt-injection","Direct = attacker at the door. Indirect = attacker already inside the mail."
"Why does sanitizing user input not fully solve prompt injection?","Two reasons: (1) Indirect injection bypasses input sanitization entirely — malicious content arrives through data channels, not user input. (2) The model understands semantics, not keywords — 'ignore previous instructions' can be phrased infinite ways.","L1,LLM01,prompt-injection,defense","Regex can't stop meaning."
"Name all 10 OWASP LLM Top 10 items (2025)","LLM01: Prompt Injection | LLM02: Sensitive Information Disclosure | LLM03: Supply Chain Vulnerabilities | LLM04: Data and Model Poisoning | LLM05: Improper Output Handling | LLM06: Excessive Agency | LLM07: System Prompt Leakage | LLM08: Vector and Embedding Weaknesses | LLM09: Misinformation | LLM10: Unbounded Consumption","L1,OWASP,recall","PS-DIO-ESMU: Prompt, Sensitive, Data, Improper, Output... use first letters"
"What is LLM05 — Improper Output Handling?","LLM output is passed to downstream systems (browser, database, shell) without sanitization. The LLM becomes the weapon: its output triggers XSS, SQL injection, or RCE in other systems. Fix: treat LLM output as untrusted user input to every downstream system.","L1,LLM05,output-handling","LLM01 = attack goes IN to the LLM. LLM05 = attack goes OUT from the LLM."
"What is LLM06 — Excessive Agency?","The LLM is given more permissions, tools, or capabilities than it needs. An attacker who hijacks the LLM (via prompt injection) gains access to those excess capabilities. Fix: principle of least privilege applied to AI — give the model only what it strictly needs.","L1,LLM06,excessive-agency","Excessive Agency = Least Privilege violation for AI."
"What is the difference between LLM04 (Data Poisoning) and LLM06 (Excessive Agency) in terms of when they are exploited?","LLM04 is a pre-deployment attack — the training or fine-tuning data is corrupted before the model goes live. LLM06 is a runtime attack — the model is given too much power and an attacker exploits that during operation.","L1,LLM04,LLM06,distinction","04 = poison the soil before planting. 06 = give the plant a flamethrower."
"What is an ML backdoor attack and why is it a persistence technique?","A backdoor attack embeds a secret trigger word in training data. The model behaves normally for all inputs except that trigger. Because the backdoor is in the weights, it survives server patches, app updates, and model version bumps — only retraining from clean data removes it.","L1,LLM04,persistence,ATLAS","Backdoor = a ghost in the weights. Exorcism = full retrain from clean data."
"What does MITRE ATLAS stand for and how does it relate to ATT&CK?","Adversarial Threat Landscape for AI Systems. ATLAS is to AI what ATT&CK is to traditional IT — same structure (tactics → techniques → sub-techniques), different domain. Use ATLAS IDs in AI security audit reports the same way ATT&CK IDs are used in traditional threat reports.","L1,ATLAS,frameworks","ATT&CK hunts humans. ATLAS hunts models."
"What is ML Attack Staging in MITRE ATLAS?","The preparation phase before an attack is launched. The attacker crafts the specific weapons: poisoned training samples, adversarial inputs, backdoor triggers, refined prompt injection strings. Nothing has hit the real system yet — this is the lab phase before execution.","L1,ATLAS,attack-staging","Staging = dress rehearsal. Execution = opening night."
"What is Resource Development in MITRE ATLAS (AI context)?","Building what's needed to attack a specific model: training a surrogate/shadow model (via model extraction) to test attacks safely, developing adversarial examples, preparing poisoned datasets, probing the real model's decision boundaries via API queries.","L1,ATLAS,resource-development","Can't attack blind. Build the practice dummy first."
"What is Persistence in MITRE ATLAS (AI context)?","Maintaining influence over model behavior after an attack — typically via a backdoor in the weights, poisoned fine-tuning data, a compromised ML pipeline script, or malicious embeddings in a RAG vector store. Unlike server persistence, this survives infrastructure changes.","L1,ATLAS,persistence","Traditional persistence = backdoor in the server. AI persistence = backdoor in the soul of the model."
"When threat modeling an LLM app, what is the highest-priority single fix if the model has unrestricted access to sensitive data?","Scope the knowledge base access — apply least privilege to what the model can see. An attacker can't exfiltrate what the model can't access. Full access is the prerequisite for every data exfiltration attack chain.","L1,threat-modeling,interview","You can't steal what's not in the room."
"What dangerous pattern emerges when you combine indirect prompt injection (LLM01) with excessive agency (LLM06)?","An attacker embeds instructions in external content (email, document) the LLM processes. The LLM executes those instructions using its excess capabilities (send emails, run queries, create tickets). The attacker never touched the system directly.","L1,LLM01,LLM06,attack-chains","Injection loads the gun. Excessive agency pulls the trigger."
