Front,Back,Mnemonic,Source
"Where does the Solana CLI store its config?","~/.config/solana/cli/config.yml — contains RPC URL (network), default keypair path, and commitment level.","Same place every Unix tool hides its config — ~/.config/","A-Day1"
"What are the two most important fields in Solana CLI config?","json_rpc_url (which network: devnet/mainnet/localhost) and keypair_path (which wallet signs by default).","URL = where you talk. Keypair = who you are.","A-Day1"
"How do you switch between devnet and mainnet in the CLI?","solana config set --url devnet  OR  solana config set --url mainnet-beta","config set --url = change your network dial","A-Day1"
"What command shows your default wallet's public key?","solana address","address = who am I on this network","A-Day1"
"What is a Solana keypair file?","A JSON file containing an array of bytes representing the Ed25519 private key. The public key (address) is derived from it.","It IS your private key — treat it like a password file","A-Day1"
"Where is the default Solana CLI keypair stored?","~/.config/solana/id.json — the default signing keypair for all CLI commands unless overridden with --keypair","id.json = your default identity on Solana","A-Day1"
"How do you use a non-default keypair for a single CLI command?","Add --keypair /path/to/wallet.json to any command. This overrides the default for that command only.","--keypair = temporary identity swap","A-Day1"
"You run `solana balance` and see 0 SOL on a fresh keypair. What does this mean in Solana?","The address exists as a keypair locally but has no on-chain state — it has never been funded. In Solana, accounts don't exist on-chain until they hold lamports.","No lamports = no account. Solana doesn't track empty addresses.","A-Day1"
"What is the devnet airdrop command, and what is its limit?","solana airdrop 2 — limited to ~2 SOL per request, ~5 SOL per 24h. For more, use faucet.solana.com.","Devnet faucet = free test money, but throttled","A-Day1"
"What is the difference between `solana balance <PUBKEY>` and `solana balance --keypair file.json`?","Both check a balance. The first takes a raw pubkey (read-only, no private key needed). The second loads the keypair file and checks its derived address.","Pubkey = read-only lookup. --keypair = load identity then check.","A-Day1"
"Why should you never commit a Solana keypair JSON file to git?","The file contains your raw private key bytes. Anyone with the file can sign transactions as you — drain your wallet, upgrade your programs, transfer any assets.","Private key in git = handed the keys to a stranger","A-Day1"
